Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³)
2018-02-26 00:00:00,73.77,208.95,32.09,17.28,24.87,0.75,29.48,0.33
2018-02-27 00:00:00,74.51,216.49,34.23,16.16,17.78,1.03,20.75,0.5
2018-02-28 00:00:00,82.97,212.51,31.84,17.67,14.62,1.03,24.91,0.53
2018-03-01 00:00:00,85.79,216.93,40.99,16.79,15.33,0.89,21.93,0.48
2018-03-02 00:00:00,94.83,218.18,31.6,18.0,18.04,0.98,27.28,0.52
2018-03-03 00:00:00,61.91,185.04,26.41,15.53,14.26,0.79,27.82,0.37
2018-03-04 00:00:00,69.04,215.79,35.87,14.11,11.91,0.71,9.83,0.34
2018-03-05 00:00:00,88.36,233.81,40.26,15.3,12.57,0.9,16.41,0.43
2018-03-06 00:00:00,51.6,163.34,28.35,13.93,13.94,0.7,28.66,0.28
2018-03-07 00:00:00,75.82,209.28,41.58,14.42,13.98,0.83,24.91,0.53
2018-03-08 00:00:00,91.14,218.38,52.18,16.22,36.33,0.89,17.86,0.51
2018-03-09 00:00:00,72.6,202.01,33.95,14.74,17.14,0.82,24.51,0.43
2018-03-10 00:00:00,84.54,264.22,43.15,15.58,11.8,0.93,21.88,0.53
2018-03-11 00:00:00,95.41,273.14,46.01,16.12,18.33,1.17,24.84,0.59
2018-03-12 00:00:00,100.32,287.55,46.04,15.48,24.82,0.88,23.77,0.48
2018-03-13 00:00:00,99.95,274.4,44.69,14.74,17.37,0.86,26.71,0.51
2018-03-14 00:00:00,110.55,314.6,51.41,14.11,35.3,1.16,26.76,0.57
2018-03-15 00:00:00,99.83,277.22,43.17,17.22,22.58,1.03,22.03,0.4
2018-03-16 00:00:00,49.1,140.91,20.85,13.99,11.35,0.45,29.33,0.19
2018-03-17 00:00:00,57.38,149.8,22.84,13.08,12.25,0.59,35.07,0.22
2018-03-18 00:00:00,72.82,229.77,33.98,12.89,14.7,0.71,28.88,0.39
2018-03-19 00:00:00,72.71,214.99,35.37,12.56,21.19,0.61,30.84,0.36
2018-03-20 00:00:00,95.42,292.18,46.15,14.67,17.91,1.0,28.36,0.53
2018-03-21 00:00:00,124.93,282.01,38.54,17.64,25.72,1.33,38.49,0.56
2018-03-22 00:00:00,104.58,236.42,37.39,17.02,20.42,0.93,31.23,0.42
2018-03-23 00:00:00,103.78,355.39,44.69,17.39,28.65,1.0,29.05,0.61
2018-03-24 00:00:00,83.23,256.38,42.34,16.11,28.4,0.79,35.04,0.45
2018-03-25 00:00:00,72.85,229.39,36.42,14.91,14.41,0.86,35.44,0.37
2018-03-26 00:00:00,66.12,210.14,32.25,13.5,11.98,1.09,42.31,0.32
2018-03-27 00:00:00,106.43,309.83,43.84,18.66,15.45,1.76,32.7,0.63
2018-03-28 00:00:00,110.37,357.95,44.96,17.65,20.54,1.89,45.56,0.51
2018-03-29 00:00:00,115.34,301.93,40.72,17.17,17.43,2.03,29.81,0.43
2018-03-30 00:00:00,115.27,343.96,24.82,16.32,12.58,0.89,24.79,0.36
2018-03-31 00:00:00,134.75,516.98,29.91,17.25,33.29,0.71,11.71,0.25
2018-04-01 00:00:00,78.11,233.19,39.13,18.54,35.89,0.9,7.69,0.31
2018-04-02 00:00:00,107.98,290.09,58.54,17.53,38.49,1.35,5.82,0.47
2018-04-03 00:00:00,79.59,206.4,41.8,19.63,40.31,0.83,4.63,0.42
2018-04-04 00:00:00,126.94,332.2,72.72,22.54,60.44,1.25,4.67,0.62
2018-04-05 00:00:00,94.25,291.2,36.75,24.16,21.82,0.77,23.56,0.37
2018-04-06 00:00:00,81.82,236.48,39.67,20.98,32.11,0.74,11.59,0.32
2018-04-07 00:00:00,75.17,213.23,18.53,20.4,19.1,0.78,4.64,0.22
2018-04-08 00:00:00,46.24,106.48,25.83,20.73,24.66,0.75,4.68,0.13
2018-04-09 00:00:00,76.7,174.33,45.04,20.21,19.62,1.25,4.68,0.33
2018-04-10 00:00:00,67.92,180.2,27.14,18.91,13.79,1.07,4.67,0.24
2018-04-11 00:00:00,65.71,162.36,34.08,19.42,14.99,1.12,4.67,0.31
2018-04-12 00:00:00,63.25,169.4,36.65,20.21,9.55,1.18,4.61,0.24
2018-04-13 00:00:00,49.77,123.73,30.79,18.5,7.97,1.07,4.62,0.2
2018-04-14 00:00:00,85.27,270.53,47.35,20.32,25.21,1.53,4.51,0.45
2018-04-15 00:00:00,62.83,145.86,29.17,21.88,11.5,1.41,4.33,0.25
2018-04-16 00:00:00,80.01,233.42,40.27,21.81,19.84,1.99,4.34,0.38
2018-04-17 00:00:00,98.06,303.19,40.01,24.15,8.65,2.22,4.27,0.57
2018-04-18 00:00:00,68.53,239.19,31.82,22.22,7.62,1.69,4.37,0.38
2018-04-19 00:00:00,99.04,377.29,40.7,21.32,13.45,1.98,4.34,0.4
2018-04-20 00:00:00,81.24,300.67,31.76,22.73,8.01,1.63,4.36,0.3
2018-04-21 00:00:00,87.33,276.16,36.53,23.4,8.86,0.91,4.35,0.26
2018-04-22 00:00:00,77.97,380.8,30.15,24.75,6.56,0.26,13.23,0.16
2018-04-23 00:00:00,74.88,309.76,39.54,20.93,15.53,1.53,23.22,0.27
2018-04-24 00:00:00,111.54,398.17,43.96,17.59,18.58,2.04,15.22,0.4
2018-04-25 00:00:00,164.83,329.87,46.38,21.0,22.45,1.69,17.91,0.25
2018-04-26 00:00:00,177.06,295.48,32.99,23.27,14.1,1.41,33.2,0.21
2018-04-27 00:00:00,78.96,241.96,27.14,25.66,18.39,1.67,35.4,0.23
2018-04-28 00:00:00,95.39,242.29,25.84,22.95,20.02,1.81,35.23,0.25
2018-04-29 00:00:00,73.3,232.61,25.36,21.9,15.3,1.88,30.93,0.22
2018-04-30 00:00:00,57.94,288.63,27.66,18.2,34.71,1.51,27.88,0.14
2018-05-01 00:00:00,50.4,206.25,42.81,17.82,27.76,1.33,23.65,0.16
2018-05-02 00:00:00,60.1,189.32,27.13,19.1,17.25,1.87,33.87,0.19
2018-05-03 00:00:00,54.71,153.09,32.65,16.87,17.46,1.72,25.5,0.16
2018-05-04 00:00:00,58.52,136.59,34.3,20.75,12.89,1.8,26.48,0.21
2018-05-05 00:00:00,77.48,211.83,53.54,20.09,17.07,2.13,21.04,0.31
2018-05-06 00:00:00,83.3,250.17,43.24,22.36,14.32,2.01,22.76,0.29
2018-05-07 00:00:00,70.1,219.1,34.58,21.21,13.4,2.0,27.94,0.17
2018-05-08 00:00:00,81.9,317.75,36.87,22.57,15.85,1.61,24.69,0.26
2018-05-09 00:00:00,57.85,251.82,26.66,19.73,9.88,0.96,27.43,0.13
2018-05-10 00:00:00,81.77,306.6,47.9,21.15,29.36,1.27,15.22,0.24
2018-05-11 00:00:00,90.49,308.14,40.84,19.66,15.57,1.21,8.44,0.21
2018-05-12 00:00:00,88.89,279.52,37.62,19.68,14.21,1.33,31.55,0.23
2018-05-13 00:00:00,57.32,214.83,19.87,18.39,15.51,1.16,52.36,0.11
2018-05-14 00:00:00,30.35,89.5,17.43,15.62,17.15,0.93,50.92,0.03
2018-05-15 00:00:00,60.04,174.52,26.3,16.01,10.28,0.92,39.87,0.1
2018-05-16 00:00:00,81.09,252.39,33.13,18.62,15.96,1.36,41.51,0.19
2018-05-17 00:00:00,85.64,302.52,34.12,19.83,17.48,1.24,44.06,0.2
2018-05-18 00:00:00,89.59,286.86,34.9,21.48,14.32,1.19,41.14,0.18
2018-05-19 00:00:00,140.73,292.68,54.54,20.17,36.58,1.27,27.11,0.22
2018-05-20 00:00:00,82.69,246.34,38.29,20.98,21.11,1.24,41.47,0.18
2018-05-21 00:00:00,71.57,232.68,25.47,18.77,14.47,1.12,51.22,0.1
2018-05-22 00:00:00,99.37,363.6,44.56,20.55,15.21,1.34,41.37,0.25
2018-05-23 00:00:00,95.19,292.31,34.58,23.35,24.45,1.34,52.84,0.22
2018-05-24 00:00:00,81.19,269.38,47.67,20.67,43.18,1.18,44.36,0.13
2018-05-25 00:00:00,66.29,290.81,29.68,18.86,15.74,1.1,54.02,0.13
2018-05-26 00:00:00,95.73,308.69,54.31,22.17,27.05,1.5,38.34,0.24
2018-05-27 00:00:00,84.09,300.66,38.68,23.79,15.6,1.27,37.39,0.19
2018-05-28 00:00:00,67.49,198.76,32.15,24.02,17.22,1.34,45.51,0.14
2018-05-29 00:00:00,54.85,184.21,21.72,21.9,17.36,1.1,59.96,0.11
2018-05-30 00:00:00,58.44,182.6,37.69,20.91,37.3,1.13,47.64,0.09
2018-05-31 00:00:00,115.26,159.15,20.33,20.53,20.35,1.03,54.21,0.06
2018-06-01 00:00:00,61.09,137.94,29.79,23.85,33.76,1.44,46.38,0.11
2018-06-02 00:00:00,78.18,201.94,31.48,23.27,30.02,1.18,46.02,0.12
2018-06-03 00:00:00,263.74,239.76,19.55,31.62,,0.77,58.05,0.06
2018-06-04 00:00:00,85.83,222.49,43.04,26.72,,0.75,40.53,0.12
2018-06-05 00:00:00,63.59,154.45,29.68,22.42,,,53.51,0.08
2018-06-06 00:00:00,72.53,173.01,32.79,23.43,,,34.75,0.12
2018-06-07 00:00:00,77.29,163.26,24.08,22.42,,,47.11,0.1
2018-06-08 00:00:00,45.02,95.67,17.69,18.76,,,48.87,0.07
2018-06-09 00:00:00,46.53,107.1,20.58,20.41,,,42.89,0.08
2018-06-10 00:00:00,37.53,80.41,18.86,20.56,,,39.91,0.07
2018-06-11 00:00:00,32.12,82.98,16.44,25.74,,,43.19,0.06
2018-06-12 00:00:00,136.28,230.71,11.3,26.64,,0.68,51.47,0.04
2018-06-13 00:00:00,149.99,259.85,11.71,25.86,5.95,0.69,40.23,0.01
2018-06-14 00:00:00,240.66,166.88,18.82,24.64,6.34,2.6,32.64,0.04
2018-06-15 00:00:00,58.09,217.21,20.97,22.35,5.48,0.94,34.31,0.08
2018-06-16 00:00:00,47.38,187.04,12.71,20.49,7.25,0.56,40.87,0.04
2018-06-17 00:00:00,35.61,127.29,14.0,20.61,6.37,0.55,42.26,0.04
2018-06-18 00:00:00,38.3,152.66,17.81,21.14,10.23,0.6,39.0,0.07
2018-06-19 00:00:00,34.52,117.35,21.31,20.68,19.84,0.58,41.88,0.04
2018-06-20 00:00:00,44.62,135.5,24.72,20.78,14.94,0.74,36.74,0.07
2018-06-21 00:00:00,60.02,171.65,29.98,22.37,12.75,0.83,32.3,0.13
2018-06-22 00:00:00,40.62,122.46,19.48,21.02,10.65,0.76,41.78,0.04
2018-06-23 00:00:00,32.18,59.1,21.13,22.63,10.68,0.69,35.91,0.04
2018-06-24 00:00:00,32.61,61.83,14.87,21.05,9.22,0.42,40.83,0.02
2018-06-25 00:00:00,27.89,55.89,18.38,16.42,8.05,0.61,33.38,0.02
2018-06-26 00:00:00,34.83,65.5,25.68,16.43,14.67,0.58,22.9,0.08
2018-06-27 00:00:00,30.86,66.62,30.38,16.38,26.36,0.72,18.35,0.08
2018-06-28 00:00:00,21.35,40.56,13.81,14.93,10.33,0.64,22.15,0.04
2018-06-29 00:00:00,22.28,35.62,14.0,13.06,20.15,0.49,20.0,0.0
2018-06-30 00:00:00,34.43,65.69,18.63,12.8,10.56,0.9,18.4,0.03
2018-07-01 00:00:00,29.96,75.26,14.76,14.08,9.57,0.63,20.74,0.06
2018-07-02 00:00:00,24.86,46.5,10.7,14.11,8.23,0.67,19.03,0.02
2018-07-03 00:00:00,17.12,48.95,11.98,13.74,7.85,0.64,17.51,0.01
2018-07-04 00:00:00,10.47,21.0,6.99,13.9,7.7,0.55,17.68,0.0
2018-07-05 00:00:00,22.78,52.82,15.52,13.17,10.66,0.93,15.43,0.04
2018-07-06 00:00:00,22.94,66.91,14.38,13.71,16.38,0.99,25.2,0.06
2018-07-07 00:00:00,42.07,97.62,26.9,13.76,10.83,1.52,22.84,0.07
2018-07-08 00:00:00,43.72,130.33,25.57,16.49,14.84,1.27,31.77,0.11
2018-07-09 00:00:00,36.9,87.28,22.55,14.65,25.25,1.56,18.89,0.08
2018-07-10 00:00:00,24.16,58.62,16.62,11.8,21.05,1.09,14.34,0.03
2018-07-11 00:00:00,41.45,323.17,24.77,12.64,25.75,1.03,21.04,0.07
2018-07-12 00:00:00,38.36,73.17,30.65,12.27,34.1,1.11,14.15,0.1
2018-07-13 00:00:00,30.05,55.79,23.05,11.43,23.3,1.05,22.34,0.06
2018-07-14 00:00:00,28.28,51.26,22.33,11.62,21.9,1.15,19.29,0.07
2018-07-15 00:00:00,36.4,92.02,27.34,12.4,28.11,1.41,19.12,0.12
2018-07-16 00:00:00,18.35,54.48,18.22,11.3,22.84,1.1,25.18,0.07
2018-07-17 00:00:00,20.58,55.29,27.46,11.04,43.34,1.2,17.56,0.07
2018-07-18 00:00:00,19.16,35.95,15.39,10.26,20.08,1.17,10.33,0.05
2018-07-19 00:00:00,24.24,45.33,25.79,10.84,42.45,1.17,10.17,0.05
2018-07-20 00:00:00,25.15,56.47,21.07,10.21,33.34,1.22,20.97,0.02
2018-07-21 00:00:00,17.77,31.78,17.59,9.51,10.45,1.27,16.68,0.08
2018-07-22 00:00:00,15.84,30.05,23.32,10.14,13.07,0.96,11.23,0.06
2018-07-23 00:00:00,13.28,17.07,16.67,9.94,15.57,0.71,6.04,0.05
2018-07-24 00:00:00,53.89,62.25,6.86,8.09,6.66,0.6,9.06,0.03
2018-07-25 00:00:00,10.24,17.46,7.45,8.28,6.09,,11.9,0.0
2018-07-26 00:00:00,7.17,13.48,6.26,9.45,5.92,0.49,13.54,0.0
2018-07-27 00:00:00,31.52,76.75,6.32,8.39,5.24,0.55,15.03,0.0
2018-07-28 00:00:00,41.71,77.88,9.34,9.29,4.13,0.6,13.57,0.01
2018-07-29 00:00:00,985.0,81.8,12.78,10.65,2.6,1.12,10.05,0.02
2018-07-30 00:00:00,498.16,113.64,5.72,11.64,4.71,0.3,17.02,0.0
2018-07-31 00:00:00,25.77,51.12,7.2,12.84,6.39,0.6,26.61,0.0
2018-08-01 00:00:00,28.19,52.71,7.32,11.22,6.08,0.63,22.43,0.0
2018-08-02 00:00:00,39.48,82.74,9.78,10.32,5.19,0.56,18.47,0.01
2018-08-03 00:00:00,54.39,142.52,10.51,13.38,4.17,0.44,12.05,0.02
2018-08-04 00:00:00,46.6,126.62,10.56,15.3,6.43,0.45,19.03,0.02
2018-08-05 00:00:00,48.55,168.49,17.08,16.13,6.84,0.61,15.33,0.02
2018-08-06 00:00:00,47.64,139.45,22.07,15.52,11.33,0.78,11.9,0.03
2018-08-07 00:00:00,35.9,76.47,21.71,14.16,23.03,0.52,12.33,0.07
2018-08-08 00:00:00,24.18,52.4,15.02,12.87,10.31,0.45,16.19,0.05
2018-08-09 00:00:00,31.08,69.16,20.4,13.48,18.45,0.64,13.8,0.05
2018-08-10 00:00:00,55.29,99.91,26.8,14.99,17.97,0.77,10.01,0.08
2018-08-11 00:00:00,31.19,57.93,15.51,13.38,9.37,0.71,17.47,0.05
2018-08-12 00:00:00,25.99,48.22,20.18,13.05,14.38,0.5,13.52,0.06
2018-08-13 00:00:00,24.02,41.88,18.39,12.55,8.46,0.69,9.38,0.03
2018-08-14 00:00:00,24.79,55.53,15.56,12.87,10.42,0.5,17.73,0.03
2018-08-15 00:00:00,25.53,46.96,22.27,14.57,17.3,,14.69,0.05
2018-08-16 00:00:00,17.34,37.49,11.31,12.58,10.18,0.61,11.99,0.01
2018-08-17 00:00:00,27.42,73.14,18.61,11.87,29.65,0.84,8.54,0.03
2018-08-18 00:00:00,34.92,88.46,20.73,13.74,23.99,0.64,9.97,0.06
2018-08-19 00:00:00,26.5,54.57,22.0,12.87,24.68,0.59,12.46,0.03
2018-08-20 00:00:00,22.25,46.08,16.82,11.54,13.33,0.58,8.4,0.02
2018-08-21 00:00:00,24.26,41.68,14.13,13.31,9.96,0.67,7.91,0.06
2018-08-22 00:00:00,14.64,22.6,8.69,17.72,10.26,0.39,9.1,0.0
2018-08-23 00:00:00,7.03,13.32,5.3,12.72,6.53,0.36,7.88,0.0
2018-08-24 00:00:00,11.99,26.54,9.02,12.93,9.02,0.54,10.35,0.0
2018-08-25 00:00:00,11.32,15.31,7.04,11.29,7.52,0.46,10.34,0.0
2018-08-26 00:00:00,22.66,43.14,13.65,10.49,13.17,0.49,8.53,0.01
2018-08-27 00:00:00,20.16,29.65,17.54,10.22,11.3,0.61,12.85,0.02
2018-08-28 00:00:00,21.5,40.09,19.2,10.38,18.06,0.66,10.85,0.03
2018-08-29 00:00:00,34.85,49.66,17.03,10.39,16.54,0.73,12.4,0.03
2018-08-30 00:00:00,26.7,48.81,12.81,10.16,12.48,0.61,11.98,0.02
2018-08-31 00:00:00,14.61,24.24,12.3,11.59,11.34,0.53,11.82,0.01
2018-09-01 00:00:00,13.29,17.59,7.57,11.4,8.94,0.53,13.08,0.0
2018-09-02 00:00:00,11.38,15.15,6.13,9.95,6.89,0.46,12.04,0.0
2018-09-03 00:00:00,16.87,26.06,6.57,9.44,10.47,0.43,13.12,0.0
2018-09-04 00:00:00,19.53,35.1,4.97,9.19,8.09,0.43,14.79,0.0
2018-09-05 00:00:00,14.67,29.77,8.51,8.94,9.82,0.5,13.77,0.0
2018-09-06 00:00:00,19.94,30.71,13.91,9.36,13.57,0.64,12.87,0.01
2018-09-07 00:00:00,13.94,26.19,13.34,10.84,16.55,0.46,13.12,0.01
2018-09-08 00:00:00,29.98,43.82,13.91,11.96,14.58,0.58,10.07,0.02
2018-09-09 00:00:00,28.91,75.12,25.49,7.77,21.93,0.6,10.12,0.05
2018-09-10 00:00:00,34.24,124.27,23.0,7.44,11.7,0.69,11.39,0.05
2018-09-11 00:00:00,27.29,57.26,9.69,8.12,9.74,0.55,10.26,0.01
2018-09-12 00:00:00,21.9,43.9,5.28,10.53,14.41,0.52,28.4,0.0
2018-09-13 00:00:00,27.8,59.84,8.31,12.4,10.61,0.51,44.04,0.0
2018-09-14 00:00:00,36.04,104.41,17.47,14.36,12.35,0.57,36.23,0.01
2018-09-15 00:00:00,47.55,146.4,26.65,15.22,15.28,0.72,31.46,0.07
2018-09-16 00:00:00,58.12,173.88,30.44,16.83,17.34,0.84,31.27,0.08
2018-09-17 00:00:00,63.54,190.9,29.96,18.5,12.03,0.91,41.67,0.1
2018-09-18 00:00:00,60.72,199.43,30.61,19.5,11.86,0.77,46.1,0.07
2018-09-19 00:00:00,84.44,243.75,35.78,20.57,8.66,1.0,69.04,0.1
2018-09-20 00:00:00,57.77,153.73,29.24,21.99,17.84,0.89,47.56,0.08
2018-09-21 00:00:00,15.66,36.01,16.43,15.83,27.79,0.52,45.02,0.0
2018-09-22 00:00:00,28.64,55.28,9.96,13.77,17.6,0.41,66.9,0.0
2018-09-23 00:00:00,54.41,99.31,15.53,14.12,20.68,0.71,59.89,0.03
2018-09-24 00:00:00,69.91,155.56,23.08,15.69,11.15,0.77,35.11,0.1
2018-09-25 00:00:00,60.68,131.74,17.9,16.28,9.82,0.66,41.37,0.04
2018-09-26 00:00:00,51.84,138.2,22.05,16.89,9.62,0.73,43.15,0.07
2018-09-27 00:00:00,55.92,171.57,29.02,17.99,9.65,0.9,37.83,0.06
2018-09-28 00:00:00,70.22,222.3,27.5,18.86,10.21,0.92,39.75,0.07
2018-09-29 00:00:00,80.02,209.92,25.42,20.69,10.02,0.86,46.19,0.07
2018-09-30 00:00:00,67.31,194.41,28.41,20.17,8.85,0.86,42.23,0.09
2018-10-01 00:00:00,76.84,217.26,32.05,20.72,10.03,0.94,38.59,0.09
2018-10-02 00:00:00,75.73,270.77,27.31,21.08,11.21,0.92,38.42,0.09
2018-10-03 00:00:00,140.17,294.44,35.34,21.95,12.72,1.2,34.58,0.16
2018-10-04 00:00:00,76.69,284.74,26.64,21.49,10.67,0.88,44.55,0.1
2018-10-05 00:00:00,94.81,271.11,45.2,21.81,32.44,1.16,28.82,0.13
2018-10-06 00:00:00,91.47,249.63,30.26,22.21,11.51,1.04,40.16,0.08
2018-10-07 00:00:00,80.29,257.25,30.7,22.44,19.43,0.97,42.29,0.09
2018-10-08 00:00:00,72.76,213.79,27.35,21.5,10.79,0.87,41.59,0.11
2018-10-09 00:00:00,91.3,276.59,47.52,22.34,31.95,1.06,28.31,0.09
2018-10-10 00:00:00,81.92,219.92,30.62,21.96,23.66,0.78,49.92,0.07
2018-10-11 00:00:00,57.58,121.19,24.28,19.86,25.57,0.7,54.42,0.03
2018-10-12 00:00:00,28.77,61.26,24.89,16.96,23.7,0.58,31.72,0.02
2018-10-13 00:00:00,54.49,108.38,29.22,17.26,15.9,0.82,33.74,0.07
2018-10-14 00:00:00,79.06,194.21,27.77,19.04,11.56,0.85,41.81,0.07
2018-10-15 00:00:00,109.57,302.71,38.62,20.52,14.56,1.13,43.94,0.11
2018-10-16 00:00:00,117.11,369.91,37.8,22.43,13.1,1.17,38.13,0.12
2018-10-17 00:00:00,117.28,298.35,31.94,24.04,12.54,1.41,35.47,0.14
2018-10-18 00:00:00,92.02,276.76,29.96,23.54,14.27,1.2,40.95,0.09
2018-10-19 00:00:00,92.69,249.17,27.64,23.05,12.8,1.08,36.9,0.11
2018-10-20 00:00:00,127.95,355.04,38.5,23.3,23.82,1.25,32.88,0.13
2018-10-21 00:00:00,113.6,313.84,30.44,23.84,22.38,0.92,45.71,0.14
2018-10-22 00:00:00,103.26,217.34,43.79,23.11,28.19,1.01,27.37,0.08
2018-10-23 00:00:00,92.15,231.44,50.82,20.47,31.42,0.79,40.81,0.07
2018-10-24 00:00:00,108.56,281.35,39.79,20.47,16.92,1.06,38.22,0.11
2018-10-25 00:00:00,114.29,324.77,41.97,20.33,20.51,1.37,31.09,0.13
2018-10-26 00:00:00,103.09,273.03,42.85,20.74,30.68,1.17,34.45,0.08
2018-10-27 00:00:00,111.95,259.67,47.52,20.59,38.16,0.99,26.68,0.08
2018-10-28 00:00:00,116.76,251.98,49.17,27.9,21.36,0.99,17.48,0.11
2018-10-29 00:00:00,84.04,212.9,36.54,18.94,16.65,0.8,17.46,0.08
2018-10-30 00:00:00,93.19,201.85,41.8,19.6,25.67,0.9,27.87,0.09
2018-10-31 00:00:00,91.25,225.08,38.17,17.49,29.01,1.13,24.01,0.1
2018-11-01 00:00:00,107.64,246.76,41.21,16.77,31.95,1.16,20.12,0.11
2018-11-02 00:00:00,98.82,294.12,43.9,15.35,38.76,1.05,14.91,0.09
2018-11-03 00:00:00,108.23,292.98,36.1,16.4,27.98,1.17,26.44,0.09
2018-11-04 00:00:00,97.19,245.03,32.64,16.09,19.52,0.91,34.06,0.08
